"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Cellular Processes","Cell growth and death","hsa04115","p53 signaling pathway","35/2420","75/8546",0.466666666666667,1.64798898071625,3.54246959762168,0.000528045638626615,0.0065628529372165,0.00466506485252836,"BID/FAS/AIFM2/RRM2B/CASP8/TP73/CD82/GADD45B/PPP1R13L/BBC3/CDK6/CCND1/GADD45A/CCND2/GORAB/CCNB1/CDK4/MDM2/THBS1/CCNG2/PMAIP1/COP1/SESN3/CCNB2/RCHY1/SHISA5/CASP3/CDK1/PPM1D/BCL2L1/RRM2/PTEN/CYCS/ZMAT3/CCNE2",35
"Human Diseases","Endocrine and metabolic disease","hsa04933","AGE-RAGE signaling pathway in diabetic complications","44/2420","101/8546",0.435643564356436,1.53843384338434,3.42112096190533,0.000704216301154145,0.00845059561384973,0.00600692670675949,"EDN1/ICAM1/JAK2/PLCB4/TGFB1/TGFBR1/CCL2/COL1A1/NFKB1/CCND1/CDKN1B/VEGFA/IL1A/STAT1/AKT3/F3/EGR1/PLCG1/IL1B/STAT5A/CDK4/RAC1/IL6/PLCB2/SMAD4/AGTR1/PIK3R1/FOXO1/PRKCA/MAPK13/PRKCD/CASP3/PRKCB/SMAD3/STAT3/CXCL8/PRKCE/RELA/VEGFB/STAT5B/HRAS/JUN/THBD/MAPK11",44
"Human Diseases","Cancer: overview","hsa05203","Viral carcinogenesis","79/2420","205/8546",0.385365853658537,1.36088288651482,3.28707321890776,0.000884688363293792,0.010262385014208,0.00729479878505407,"MAD1L1/CREBBP/HDAC9/EIF2AK2/TRAF1/CASP8/SP100/ACTN1/NFKB2/TRAF5/HDAC6/RANBP1/EP300/NFKBIA/TRADD/VAC14/DNAJA3/JAK3/HPN/CDK6/CREB3/KAT2A/NFKB1/CCND1/CDKN1B/CDC20/CREB1/CCND2/EGR2/IRF3/STAT5A/TRAF2/UBR4/YWHAH/ATF4/TRAF3/YWHAQ/IL6ST/CDK4/MDM2/RAC1/GTF2B/PMAIP1/PRKACB/CCNA2/PIK3R1/HDAC8/ATP6V0D2/CDKN2B/GSN/ATP6V0D1/CCR5/JAK1/REL/HDAC11/CASP3/SYK/STAT3/CDK1/RELA/STAT5B/HRAS/CCNE2/JUN/GRB2/CREB3L2/H2BC21/H2BC13/H2BC26/MRPS18B/HLA-A/IRF9/DDX3X/H2BC15/LYN/H4C14/H4C9/H4C4/H4C2",79
"Metabolism","Carbohydrate metabolism","hsa00020","Citrate cycle (TCA cycle)","17/2420","30/8546",0.566666666666667,2.00112947658402,3.45229794621716,0.00103120591839493,0.0115761180516592,0.00822863805849942,"MDH1/CS/IDH3G/DLD/FH/ACO2/SDHB/PCK1/PDHA1/SUCLA2/SDHC/MDH2/DLAT/SUCLG1/IDH3A/IDH2/SDHD",17
"Human Diseases","Infectious disease: parasitic","hsa05146","Amoebiasis","44/2420","103/8546",0.427184466019417,1.50856134157105,3.26353881291622,0.00115243991711063,0.0125327840985781,0.00890866383292755,"LAMA3/GNA15/ACTN1/CXCL2/ARG2/GNAS/LAMB1/PLCB4/TGFB1/HSPB1/COL1A1/NFKB1/RAB5B/IL12B/C9/IL1R1/IL1B/PRKCG/LAMA5/IL6/TLR2/PLCB2/GNAL/PRKACB/RAB5A/PIK3R1/PRKCA/GNA14/CD1A/CD1C/CD1E/CXCL3/CXCL1/CASP3/ADCY1/PRKCB/CXCL8/ITGAM/CD14/SERPINB9/RELA/LAMB3/SERPINB4/RAB7B",44
"Human Diseases","Cardiovascular disease","hsa05417","Lipid and atherosclerosis","82/2420","216/8546",0.37962962962963,1.34062595653505,3.18681853447993,0.00120259284352734,0.0126562731105401,0.00899644337863556,"BID/FAS/CAMK2B/CASP8/TNFRSF1A/NFATC3/CXCL2/ICAM1/HSP90AB1/JAK2/NFKBIA/CD40/PLCB4/PYCARD/CCL2/NFKB1/HSPA8/IL12B/NFE2L2/AKT3/PPP3CC/TNFSF10/PLCG1/IL1B/IRF3/HSPA2/TRAF2/RAP1B/TICAM1/ATF4/LBP/LDLR/TRAF3/PPARG/CYP2J2/CD36/RAC1/IL6/TANK/TLR2/CASP1/PLCB2/POU2F1/CALM2/HSPD1/CAMK2D/PIK3R1/IL18/PRKCA/MAPK13/NCF1/CALM3/ABCG1/VAV2/NLRP3/CXCL3/CXCL1/CASP3/ABCA1/CASP7/STAT3/CXCL8/CD14/BCL2L1/CYCS/MYD88/RELA/HSPA6/OLR1/HRAS/JUN/ERN1/TBK1/IRAK1/MAPK11/ERO1A/IRAK4/TICAM2/LYN/IKBKE/CCL5/SOD2",82
"Human Diseases","Infectious disease: viral","hsa05169","Epstein-Barr virus infection","78/2420","204/8546",0.382352941176471,1.35024307243559,3.18218017123859,0.00123653243034012,0.0126562731105401,0.00899644337863556,"BID/RUNX3/FAS/CD44/EIF2AK2/CASP8/NFKB2/TRAF5/OAS1/ICAM1/GADD45B/NFKBIA/CD40/E2F1/TRADD/RELB/TYK2/JAK3/CDK6/RIGI/NFKB1/CCND1/CDKN1B/OAS3/OAS2/HES1/STAT1/GADD45A/CD58/AKT3/TNFAIP3/CCND2/IRF3/TRAF2/TRAF3/CDK4/MDM2/RAC1/IL6/RIPK1/TLR2/CIR1/IFNAR1/CCNA2/PIK3R1/NFKBIE/BCL2L11/MAPK13/IFNAR2/JAK1/CASP3/SAP30L/SYK/B2M/TAP1/STAT3/CXCL10/SIN3A/STAT2/CYCS/MYD88/RELA/CCNE2/CD19/JUN/TBK1/IRAK1/MAPK11/ISG15/PSMD12/IRAK4/CD247/TAP2/HLA-A/IRF9/HLA-DOB/LYN/IKBKE",78
"Metabolism","Lipid metabolism","hsa00062","Fatty acid elongation","16/2420","28/8546",0.571428571428571,2.01794569067296,3.39086130421333,0.00128155988673922,0.0127423668738642,0.00905764130477341,"HACD3/ACOT7/TECR/MECR/ACOT2/ELOVL3/ECHS1/HADHB/HADH/THEM4/ELOVL7/HACD1/ACAA2/MBLAC2/ACOT4/HACD4",16
"Environmental Information Processing","Signal transduction","hsa04068","FoxO signaling pathway","54/2420","133/8546",0.406015037593985,1.43380351705711,3.16897391991144,0.00143421538749196,0.0132840462101128,0.00944268257524653,"CREBBP/HOMER3/GADD45B/EP300/STK4/HOMER2/TGFB1/TGFBR1/CCND1/CDKN1B/GADD45A/AKT3/SGK1/FOXO3/CCND2/CAT/TNFSF10/PCK1/S1PR4/KLF2/CDKN2D/RAF1/PRKAA1/CCNB1/MDM2/IL6/CCNG2/GABARAPL1/SMAD4/PLK2/PIK3R1/ATG12/CDKN2B/FOXO1/HOMER1/BCL2L11/MAPK13/CCNB2/BRAF/RAG1/PLK1/SMAD3/STAT3/IL7R/IRS1/S1PR1/PTEN/PLK3/HRAS/BNIP3/GRB2/FOXO4/MAPK11/SOD2",54
"Organismal Systems","Immune system","hsa04062","Chemokine signaling pathway","74/2420","193/8546",0.383419689119171,1.3540101914101,3.12642776534813,0.00148995533898867,0.0132840462101128,0.00944268257524653,"FGR/WAS/BCAR1/ROCK1/CXCL2/JAK2/NFKBIA/PLCB4/HCK/CCL17/JAK3/PIK3CG/CXCL12/CCL7/CCL2/CCL8/CCL1/NFKB1/CCL20/STAT1/AKT3/FOXO3/PREX1/PLCG1/CXCL6/CCR7/RAP1B/RAC2/RAF1/RAC1/PLCB2/ADCY3/CXCL9/PIK3R5/PRKACB/PIK3R1/ADCY8/CXCL13/TIAM1/BRAF/NCF1/VAV2/CXCR5/CCR5/CXCL16/ADCY9/CXCR1/CXCL3/CXCL5/CXCL1/CCR1/PRKCD/ADCY1/PRKCB/STAT3/CXCL10/CXCL11/CXCL8/RAC3/STAT2/GNG12/CCL19/RELA/STAT5B/HRAS/GNG7/GRB2/CCL13/LYN/CCL5/CCL23/CCL4/CCL15/PIK3R6",74
"Environmental Information Processing","Signaling molecules and interaction","hsa04060","Cytokine-cytokine receptor interaction","108/2420","298/8546",0.36241610738255,1.2798380387154,3.09040768076318,0.00151935712491478,0.0132840462101128,0.00944268257524653,"TNFRSF12A/IL32/FAS/TNFRSF9/RELT/NGFR/TNFRSF1A/IL4R/CXCL2/IL12RB1/OSM/CSF2RB/IL2RB/CD40/TNFSF13B/CCL17/IL7/EBI3/TGFB1/TGFBR1/CXCL12/CSF3/CCL7/CCL2/CCL8/CCL1/IL10RA/IL23A/IL12B/PRLR/ACVR2B/IL1A/CCL20/ACVR1/IL1R1/TNFRSF8/TNFSF10/INHBA/ACVR1C/IL17C/CXCL6/IL1B/TNFSF9/CD70/TNFSF14/BMP2/CCR7/GDF15/IL13RA1/IL6ST/IL2RA/IL15RA/GDF11/ACVR1B/IL6/IL36G/CXCL9/ACVRL1/TNFRSF11A/IFNAR1/ACKR3/OSMR/TSLP/TNFRSF21/IL18/BMP6/CXCL13/IFNAR2/IFNGR2/TNFRSF13C/CXCR5/IL6R/CCR5/CXCL16/BMP10/CXCR1/CXCL3/CXCL5/CXCL1/CCR1/IL15/RELL2/IL7R/CXCL10/CXCL11/CXCL8/PRL/IL16/CCL19/TNFRSF10D/CLCF1/IL17RA/CCL13/CSF1/IFNLR1/TNFRSF4/IL27/BMPR2/TNFSF12/TNFRSF6B/IL10RB/CCL5/CCL23/CCL4/CCL15/IL3RA/CSF2RA/CRLF2",108
"Human Diseases","Infectious disease: viral","hsa05161","Hepatitis B","64/2420","163/8546",0.392638036809816,1.38656391015566,3.13177530317399,0.00152584640072518,0.0132840462101128,0.00944268257524653,"CASP10/CREBBP/BID/FAS/CASP8/NFATC3/JAK2/EP300/NFKBIA/E2F1/TGFB1/TYK2/JAK3/TGFBR1/CREB3/RIGI/NFKB1/IFIH1/STAT1/AKT3/CREB1/EGR2/IRF3/STAT5A/PRKCG/TICAM1/ATF4/TRAF3/RAF1/YWHAQ/IL6/TLR2/STAT4/SMAD4/IFNAR1/CCNA2/PIK3R1/PRKCA/MAPK13/BRAF/JAK1/CASP3/TLR3/PRKCB/SMAD3/STAT3/CXCL8/STAT2/CYCS/MYD88/RELA/STAT5B/HRAS/CCNE2/JUN/GRB2/CREB3L2/TBK1/IRAK1/MAPK11/IRAK4/DDX3X/TICAM2/IKBKE",64
"Cellular Processes","Transport and catabolism","hsa04140","Autophagy - animal","66/2420","169/8546",0.390532544378698,1.37912856374395,3.1286776552982,0.00152690186323135,0.0132840462101128,0.00944268257524653,"CFLAR/RRAGD/VMP1/WIPI1/TP53INP2/ULK2/SNAP29/MTMR3/HIF1A/MAP1LC3A/VPS18/TAX1BP1/RPS6KB1/ATG2A/AMBRA1/AKT3/OPTN/ATG4C/RRAS/ATG14/EIF2AK4/ATG4D/RAF1/PRKAA1/RRAS2/CTSL/CALCOCO2/TANK/STX17/RAB1A/GABARAPL1/PRKACB/ATG3/RUBCN/PIK3R1/ATG12/C9orf72/UBC/DEPTOR/MRAS/SQSTM1/PRKCD/WDR41/TSC1/ZFYVE1/VPS39/RAB8A/MLST8/DDIT4/IRS1/BCL2L1/PTEN/HRAS/ATG13/RPS6KB2/BNIP3/ULK1/ERN1/TBK1/NBR1/DAPK1/WDR45/ATG7/UVRAG/AKT1S1/RAB7B",66
"Environmental Information Processing","Signal transduction","hsa04630","JAK-STAT signaling pathway","65/2420","168/8546",0.386904761904762,1.36631739472649,3.01381940569764,0.00216448494387768,0.0179958545627262,0.0127919716341218,"CREBBP/FHL1/PIAS1/IL4R/JAK2/IL12RB1/OSM/PDGFB/CSF2RB/IL2RB/EP300/IL7/TYK2/JAK3/CSF3/CCND1/IL10RA/IL23A/PTPN6/IL12B/PRLR/PDGFRB/STAT1/AKT3/CCND2/SOCS2/STAT5A/IL13RA1/PIAS3/RAF1/IL6ST/IL2RA/IL15RA/IL6/AOX1/STAT4/IFNAR1/MCL1/OSMR/PIK3R1/TSLP/IFNAR2/IFNGR2/IL6R/JAK1/IL15/STAT3/IL7R/STAT2/BCL2L1/PRL/STAT5B/HRAS/PTPN2/CLCF1/GRB2/SOCS3/SOCS1/IFNLR1/IL27/IRF9/IL10RB/IL3RA/CSF2RA/CRLF2",65
"Environmental Information Processing","Signaling molecules and interaction","hsa04061","Viral protein interaction with cytokine and cytokine receptor","42/2420","100/8546",0.42,1.48319008264463,3.05469387188583,0.00218589440550001,0.0179958545627262,0.0127919716341218,"TNFRSF1A/CXCL2/IL2RB/CCL17/CXCL12/CCL7/CCL2/CCL8/CCL1/IL10RA/CCL20/TNFSF10/CXCL6/TNFSF14/CCR7/IL6ST/IL2RA/IL6/CXCL9/ACKR3/IL18/CXCL13/CXCR5/IL6R/CCR5/CXCR1/CXCL3/CXCL5/CXCL1/CCR1/CXCL10/CXCL11/CXCL8/CCL19/TNFRSF10D/CCL13/CSF1/IL10RB/CCL5/CCL23/CCL4/CCL15",42
"Human Diseases","Infectious disease: bacterial","hsa05132","Salmonella infection","92/2420","251/8546",0.366533864541833,1.29437950676632,2.97516775959748,0.0022332057388793,0.0179958545627262,0.0127919716341218,"RALA/BIRC3/ELMO2/CASP8/TNFRSF1A/PFN2/PTPRC/HSP90AB1/TXN2/NFKBIA/MYL9/MYL12A/TRADD/PYCARD/VPS18/RIPK2/DCTN6/STX10/CYTH2/PIK3CG/NOD1/WASL/ACTR3C/CYTH1/NFKB1/BIRC2/RAB5B/SKP1/AKT3/TNFSF10/TUBA1B/RAB9A/CSE1L/AHNAK/IL1B/RRAS/TRAF2/PODXL/RAF1/PIK3C2B/GCC2/RAC1/IL6/ABI1/TXN/TUBB2A/RIPK1/TLR2/CASP1/CASP5/ACTR1A/RAB5A/DYNC1LI1/DYNLT1/TCF7L2/IL18/MAPK13/TAB3/NLRP3/CASP3/CASP7/VPS39/CTNNB1/MLKL/RHOH/CXCL8/CD14/CYCS/MYD88/RELA/SNX33/HRAS/KLC2/TUBB6/RHOG/JUN/SNX18/MYL11/EXOC7/ANXA2/IRAK1/MAPK11/AHNAK2/TUBB4B/MYO6/FLNA/CASP4/DYNC1H1/IRAK4/MYL5/CYFIP1/RAB7B",92
"Organismal Systems","Immune system","hsa04623","Cytosolic DNA-sensing pathway","36/2420","83/8546",0.433734939759036,1.53169371701683,3.05924053013519,0.00227533793321825,0.0179958545627262,0.0127919716341218,"POLR3B/POLR3E/CASP8/POLR3H/NFKBIA/MEFV/PYCARD/RIGI/NFKB1/ZBP1/IL1B/IRF3/IL6/RIPK1/CASP1/DNASE2B/IL18/ADAR/NLRP3/IFI16/AIM2/CASP3/CGAS/CASP7/MLKL/CXCL10/POLR1C/RELA/POLR2L/TBK1/POLR3C/TREX1/ZCCHC3/IKBKE/CCL5/CCL4",36
"Organismal Systems","Immune system","hsa04620","Toll-like receptor signaling pathway","45/2420","109/8546",0.412844036697248,1.45791947835317,3.02401236089068,0.00233657028763596,0.0180694768910514,0.0128443045051333,"CASP8/NFKBIA/CD40/TLR8/TYK2/MAP3K8/NFKB1/IL12B/CD86/STAT1/AKT3/CD80/IL1B/IRF3/TICAM1/LBP/TRAF3/RAC1/IL6/RIPK1/TLR2/CXCL9/IFNAR1/PIK3R1/MAPK13/IFNAR2/JAK1/TLR3/CXCL10/CXCL11/CXCL8/CD14/STAT2/MYD88/RELA/JUN/TBK1/IRAK1/MAPK11/IRAK4/IRF9/TICAM2/IKBKE/CCL5/CCL4",45
"Human Diseases","Endocrine and metabolic disease","hsa04932","Non-alcoholic fatty liver disease","61/2420","157/8546",0.388535031847134,1.37207453808496,2.95733076027824,0.00259710372360837,0.0192645991921596,0.0136938318516561,"NDUFAB1/BID/FAS/CASP8/TNFRSF1A/SREBF1/NDUFB2/NDUFB7/TGFB1/MLX/NFKB1/NDUFS8/IL1A/NDUFS7/AKT3/SDHB/IL1B/TRAF2/ATF4/NDUFA5/NDUFA10/CYP2E1/COX7B/PPARG/PRKAA1/RAC1/IL6/UQCRC2/SDHC/NDUFS6/PIK3R1/NDUFB9/BCL2L11/MAPK13/NDUFV3/IL6R/CASP3/UQCRQ/NDUFB6/CASP7/NDUFV1/NDUFS5/IRS1/CXCL8/CYCS/RELA/UQCRH/COX8A/JUN/ERN1/COX5A/CYC1/UQCR10/SOCS3/MAPK11/NDUFA4L2/CYTB/COX3/SDHD/NDUFS3/CEBPA",61
"Organismal Systems","Immune system","hsa04657","IL-17 signaling pathway","40/2420","95/8546",0.421052631578947,1.48690735102218,2.99936488986052,0.00260536788950249,0.0192645991921596,0.0136938318516561,"TRAF3IP2/CASP8/MAPK6/PTGS2/TRAF4/CXCL2/TRAF5/HSP90AB1/NFKBIA/TRADD/CCL17/CSF3/CCL7/CCL2/NFKB1/CCL20/TNFAIP3/IL17C/CXCL6/IL1B/TRAF2/TRAF3/IL6/S100A8/MAPK13/TAB3/S100A9/CXCL3/CXCL5/CXCL1/CASP3/CXCL10/CXCL8/CEBPB/RELA/JUN/IL17RA/TBK1/MAPK11/IKBKE",40
"Metabolism","Carbohydrate metabolism","hsa00630","Glyoxylate and dicarboxylate metabolism","17/2420","32/8546",0.53125,1.87605888429752,3.12044609595173,0.00265718609547029,0.0192645991921596,0.0136938318516561,"MDH1/CS/DLD/ACO2/PCCB/ACAT2/CAT/MCEE/ACSS2/GLUL/GRHPR/AMT/MDH2/ACSS1/HYI/SHMT2/PGP",17
"Human Diseases","Neurodegenerative disease","hsa05014","Amyotrophic lateral sclerosis","129/2420","371/8546",0.347708894878706,1.227900915551,2.82074848987356,0.00329669951038649,0.0232205870696028,0.016505861952077,"NDUFAB1/BID/PSMA4/NDC1/TNFRSF1A/PFN2/WIPI1/ULK2/SEH1L/NDUFB2/NUP50/HDAC6/NUP188/ITPR3/ATP5F1D/NDUFB7/PSMA3/PSMA6/PSMA7/MAP1LC3A/NXT2/SPG11/DCTN6/GRIN2D/PSMA2/ATG2A/SLC1A2/AMBRA1/NUP98/NDUFS8/PSMD9/ATP5F1B/NUP155/NDUFS7/SRSF7/ATP5PB/SDHB/PPP3CC/CAT/ANXA11/OPTN/TUBA1B/ATP5F1E/ATG14/TRAF2/ATF4/NDUFA5/TOMM40/NDUFA10/COX7B/NUP210/ATP5MC2/RAC1/TANK/PSMB7/NCBP1/TUBB2A/CASP1/RAB1A/ACTR1A/ANXA7/UQCRC2/SDHC/RAB5A/NDUFS6/NDUFB9/C9orf72/SIGMAR1/ATP5F1A/RANBP2/ATP5MC3/ATP5PF/MCU/MAPK13/SEC13/NRG2/TOMM40L/ATP5MC1/NDUFV3/SQSTM1/NXF1/NUP35/WDR41/CASP3/UQCRQ/NDUFB6/ATP5F1C/RAB8A/NDUFV1/ATXN2L/NDUFS5/BCL2L1/CYCS/UQCRH/KLC2/ATG13/TUBB6/COX8A/ULK1/ERN1/COX5A/CYC1/ALYREF/TBK1/UQCR10/MAPK11/NDUFA4L2/DNAH14/TUBB4B/PSMD12/CYTB/ND2/ND5/ND4/ND1/ATP6/COX3/SDHD/GPX3/ND4L/NUP62/VDAC1/NDUFS3/ATP8/GPX1/ATP5PO/CHCHD10/NEFL/MATR3",129
"Human Diseases","Cancer: overview","hsa05231","Choline metabolism in cancer","41/2420","99/8546",0.414141414141414,1.46250104349278,2.90907077541351,0.00333629124563259,0.0232205870696028,0.016505861952077,"WAS/DGKA/PLPP1/SLC44A1/PLD1/CHKB/PDGFB/HIF1A/PLA2G4C/RPS6KB1/CHKA/CHPT1/WASF1/PDGFRB/AKT3/LYPLA1/PLCG1/PRKCG/RAC2/PLD2/SLC44A2/RAF1/RAC1/PIP5K1A/PIK3R1/PRKCA/RALGDS/PCYT1A/TSC1/PRKCB/PLA2G4F/JMJD7-PLA2G4B/RAC3/HRAS/RPS6KB2/JUN/GRB2/EIF4EBP1/SLC22A4/SLC22A5/PLA2G4B",41
"Human Diseases","Infectious disease: bacterial","hsa05120","Epithelial cell signaling in Helicobacter pylori infection","31/2420","71/8546",0.436619718309859,1.54188103829589,2.88163184888277,0.00394202850620392,0.0268985474540973,0.0191202621043947,"ATP6V0A1/CXCL2/ATP6V1D/NFKBIA/TJP1/MET/NOD1/NFKB1/TCIRG1/ATP6V0E1/PLCG1/ATP6V1F/RAC1/ATP6V0D2/ADAM17/MAPK13/ATP6V0D1/CXCR1/CXCL3/CXCL1/CASP3/JAM3/CXCL8/ATP6V0E2/RELA/JUN/IGSF5/MAPK11/ATP6V0C/LYN/CCL5",31
"Human Diseases","Immune disease","hsa05323","Rheumatoid arthritis","39/2420","95/8546",0.410526315789474,1.44973466724663,2.77037996625191,0.00495191299578544,0.0331397254333333,0.0235566711337971,"ATP6V0A1/CXCL2/ICAM1/ATP6V1D/TNFSF13B/ACP5/FLT1/TGFB1/CXCL12/CCL2/TCIRG1/IL23A/VEGFA/ATP6V0E1/CD86/IL1A/CCL20/CD80/CXCL6/IL1B/ATP6V1F/CTSL/IL6/TLR2/TNFRSF11A/ATP6V0D2/IL18/ATP6V0D1/CXCL3/CXCL5/CXCL1/IL15/CXCL8/ATP6V0E2/JUN/CSF1/ATP6V0C/HLA-DOB/CCL5",39
"Organismal Systems","Immune system","hsa04622","RIG-I-like receptor signaling pathway","31/2420","72/8546",0.430555555555556,1.52046602387511,2.78733791657245,0.00507801170020939,0.0333424164466579,0.0237007497427847,"CASP10/CASP8/CYLD/NFKBIA/RNF125/TRADD/RIGI/DHX58/NFKB1/IL12B/IFIH1/TRIM25/ZNFX1/IRF3/TRAF2/TRAF3/TANK/RIPK1/ATG12/MAPK13/NLRX1/ADAR/AZI2/CXCL10/CXCL8/RELA/TBK1/MAPK11/ISG15/DDX3X/IKBKE",31
"Metabolism","Nucleotide metabolism","hsa00240","Pyrimidine metabolism","26/2420","58/8546",0.448275862068966,1.58304360216586,2.80019042181195,0.00521256974161752,0.0335921161126462,0.0238782434557528,"NME1-NME2/TYMP/RRM2B/NT5C2/CAD/UPB1/NME4/HDDC2/NT5C3A/DUT/CMPK2/NT5E/NME7/TK1/DTYMK/CANT1/CTPS1/RRM2/TYMS/DCTPP1/ENTPD4/UCKL1/NT5M/NME1/NME2/ASMTL",26
"Organismal Systems","Digestive system","hsa04978","Mineral absorption","27/2420","61/8546",0.442622950819672,1.56308088334914,2.77386293663697,0.00551102453962174,0.0348697552688794,0.0247864261590643,"SLC9A3/ATP2B3/SLC46A1/FTL/SLC8A3/HMOX2/SLC11A2/VDR/SLC8A2/MT1G/MT2A/SLC40A1/ATP1B1/ATP2B2/ATP1A1/FTH1/MT1E/SLC30A1/SLC26A9/ATOX1/SLC8A1/MT1X/MT1F/MT1H/MT1A/MT1M/SLC26A6",27
"Genetic Information Processing","Information processing in viruses","hsa03250","Viral life cycle - HIV-1","28/2420","64/8546",0.4375,1.54498966942149,2.75045372953791,0.00578616792841152,0.0351749638176487,0.025003377184354,"CREBBP/APOBEC3H/EP300/NELFCD/CHMP4B/ELL/KAT2A/ELL2/APOBEC3A/APOBEC3A_B/APOBEC3F/BST2/TRIM5/RAN/CDK9/CPSF7/BICD1/RANBP2/MX1/CCR5/SERINC5/PSIP1/MX2/HGS/SUPT5H/SUPT4H1/APOBEC3G/APOBEC3D",28
"Human Diseases","Cancer: overview","hsa05235","PD-L1 expression and PD-1 checkpoint pathway in cancer","37/2420","90/8546",0.411111111111111,1.45179981634527,2.70807094660265,0.00593236716195203,0.0351749638176487,0.025003377184354,"NFATC3/JAK2/HIF1A/NFKBIA/CSNK2A1/RPS6KB1/NFKB1/PTPN6/STAT1/AKT3/CD274/PPP3CC/BATF3/PLCG1/TICAM1/RAF1/TLR2/PIK3R1/NFKBIE/BATF/MAPK13/IFNGR2/JAK1/BATF2/STAT3/ALK/PTEN/RASGRP1/MYD88/RELA/HRAS/RPS6KB2/JUN/MAPK11/CD247/MAP3K3/TICAM2",37
"Human Diseases","Infectious disease: viral","hsa05166","Human T-cell leukemia virus 1 infection","81/2420","224/8546",0.361607142857143,1.27698125737898,2.64019349183481,0.00593397341974481,0.0351749638176487,0.025003377184354,"MAD1L1/SLC25A5/CREBBP/TNFRSF1A/TCF3/NFATC3/NFKB2/ICAM1/RANBP1/TSPO/IL2RB/EP300/NFKBIA/CD40/E2F1/VAC14/RELB/TGFB1/JAK3/TGFBR1/CREB3/KAT2A/NFKB1/CCND1/ANAPC15/IL1R1/AKT3/SLC2A1/CDC20/CREB1/CCND2/EGR1/PPP3CC/EGR2/CDKN2C/STAT5A/ATF4/RAN/IL2RA/IL15RA/ETS1/CDK4/IL6/MMP7/ADCY3/CRTC3/SMAD4/PRKACB/CCNA2/PIK3R1/CDKN2B/ANAPC1/ADCY8/BUB1B/CCNB2/ETS2/TNFRSF13C/CRTC2/ADCY9/JAK1/MAD2L1/IL15/ADCY1/B2M/SMAD3/BCL2L1/PTEN/TLN2/RELA/STAT5B/HRAS/CCNE2/CDC26/JUN/CREB3L2/ANAPC7/MAP3K3/HLA-A/VDAC1/HLA-DOB/SLC25A6",81
"Human Diseases","Infectious disease: viral","hsa05160","Hepatitis C","60/2420","159/8546",0.377358490566038,1.33260564478403,2.66072552827745,0.00596357145184274,0.0351749638176487,0.025003377184354,"CFLAR/BID/FAS/PIAS1/EIF2AK2/CASP8/TNFRSF1A/SCARB1/OAS1/NFKBIA/E2F1/TRADD/TYK2/PPP2R1A/CDK6/RIGI/NFKB1/CCND1/OAS3/OAS2/STAT1/AKT3/IRF3/TRAF2/TICAM1/YWHAH/EIF2AK4/LDLR/TRAF3/RAF1/YWHAQ/RSAD2/CDK4/RIPK1/IFNAR1/PIK3R1/PPP2R2B/MX1/BRAF/IFNAR2/JAK1/CASP3/TLR3/CTNNB1/STAT3/CXCL10/STAT2/CYCS/RELA/HRAS/GRB2/MX2/TBK1/SOCS3/IFIT1/IFIT1B/IRF9/CLDN9/PPP2R2A/IKBKE",60
"Human Diseases","Neurodegenerative disease","hsa05020","Prion disease","98/2420","278/8546",0.352517985611511,1.24488376241156,2.60889964358303,0.00624603191476292,0.0357594905453501,0.0254188756145108,"NDUFAB1/SLC25A5/FYN/PSMA4/NDUFB2/ITPR3/ATP5F1D/NDUFB7/PSMA3/PSMA6/PSMA7/CSNK2A1/GRIN2D/PSMA2/CREB3/PPIF/HSPA8/NDUFS8/PSMD9/ATP5F1B/C9/IL1A/NDUFS7/ATP5PB/SDHB/CREB1/EGR1/PPP3CC/ITPR2/TUBA1B/ATP5F1E/IL1B/ATF4/RAC2/NDUFA5/NDUFA10/COX7B/ATP5MC2/RAC1/IL6/PSMB7/TUBB2A/UQCRC2/PRKACB/SDHC/NDUFS6/PIK3R1/NDUFB9/ATP5F1A/ATP5MC3/ATP5PF/MCU/MAPK13/NCF1/C1QC/ATP5MC1/NDUFV3/PRKCD/CASP3/UQCRQ/NDUFB6/ATP5F1C/NDUFV1/STIP1/NDUFS5/CYCS/HSPA6/C1QB/C1QA/UQCRH/KLC2/TUBB6/COX8A/COX5A/CYC1/CREB3L2/UQCR10/MAPK11/NDUFA4L2/TUBB4B/RYR1/PSMD12/CYTB/ND2/GRIN3A/ND5/ND4/ND1/ATP6/COX3/SDHD/ND4L/VDAC1/NDUFS3/ATP8/ATP5PO/CCL5/SLC25A6",98
"Human Diseases","Cancer: specific types","hsa05211","Renal cell carcinoma","30/2420","70/8546",0.428571428571429,1.51345926800472,2.7110327475039,0.00626818656111021,0.0357594905453501,0.0254188756145108,"CREBBP/HGF/TFE3/FH/PDGFB/EP300/HIF1A/ELOB/TGFB1/MET/VEGFA/EPAS1/AKT3/SLC2A1/RAP1B/PAK4/RAF1/VHL/ETS1/EGLN1/RAC1/ARNT/PIK3R1/ELOC/BRAF/TGFA/ARNT2/HRAS/JUN/GRB2",30
